,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
5317,8.05,9198,489.0,2115,29967,110,89.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
5319,7.62,90122,1287.0,575,144364,576,94.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
5321,6.19,3496,6784.0,4157,7467,8,89.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5322,6.83,2074,4202.0,4634,5684,3,119.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
5346,7.45,6575,1817.0,2489,22976,28,102.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
5365,7.82,36271,842.0,1420,55936,174,48.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
5380,7.7,72842,1106.0,716,119884,134,82.0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
5383,7.26,1037,2565.0,5448,3777,2,77.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5386,6.87,1310,4032.0,6242,2669,5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5389,6.66,14433,4951.0,2298,25957,119,93.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
5402,7.13,44087,3072.0,1125,73569,143,115.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
5422,6.98,232,3639.0,8783,762,1,52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5425,6.98,45202,3627.0,1070,77556,221,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5440,6.38,100,6072.0,8707,795,0,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5444,7.9,4912,699.0,3561,10773,38,51.0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
5446,8.27,184194,266.0,191,314307,3821,46.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
5460,6.96,962,3720.0,6428,2450,7,75.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5461,6.9,33399,3928.0,1477,52884,58,81.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
5473,7.32,11046,2366.0,2590,21194,47,104.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5475,7.24,985,2649.0,5599,3531,4,95.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5479,7.85,8356,798.0,3083,14897,58,140.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
5487,7.18,26191,2896.0,1360,59767,148,106.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5497,6.33,673,6285.0,7336,1589,5,55.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5504,7.73,18885,1046.0,1699,43096,103,120.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5507,7.39,1661,2082.0,5549,3616,5,70.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5510,8.09,59254,444.0,921,92867,695,126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5514,6.61,4369,,4083,7792,32,54.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
5531,7.36,3768,2179.0,3574,10684,139,105.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5536,5.62,127,8164.0,10112,365,0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
5553,7.62,27148,1309.0,1414,56160,453,118.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
5564,8.04,66163,503.0,804,107779,394,47.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
5575,7.75,108456,993.0,309,230683,1393,50.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5577,6.23,501,6649.0,7640,1376,0,50.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
5584,7.44,8754,1859.0,3022,15503,3,106.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
5589,7.24,4095,2637.0,3748,9558,24,96.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5590,8.06,9278,472.0,2943,16465,30,77.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
5591,7.27,1718,2535.0,5463,3745,9,70.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
5604,6.56,147,5372.0,8981,684,0,67.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
5610,7.08,41599,3259.0,1223,66662,21,45.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
5613,6.85,13174,4121.0,2458,23359,8,96.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
5623,7.91,5763,683.0,3353,12529,36,62.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5625,6.37,222,6114.0,8815,748,0,52.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5629,6.88,4398,4002.0,3199,13933,22,84.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
5634,7.21,91370,2763.0,574,144391,857,52.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
5638,7.91,1700,691.0,4662,5622,16,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5652,7.63,63052,1268.0,803,107910,380,86.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1
5656,5.61,18852,8174.0,1929,35136,36,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5666,7.58,4095,1406.0,3508,11210,20,50.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5684,8.2,64580,316.0,752,115143,962,126.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
5688,7.95,3942,619.0,4065,7864,46,69.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5719,6.53,767,5447.0,7300,1621,5,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5724,7.71,13228,1094.0,2444,23494,11,48.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5729,7.16,245,2973.0,8470,904,3,72.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5730,8.63,78701,65.0,594,139495,2994,114.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
5737,6.95,7834,3757.0,3096,14769,25,85.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5739,7.66,14749,1204.0,2205,27911,32,104.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
5740,6.4,304,6015.0,8350,960,0,45.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
5747,7.75,16522,1007.0,1881,36647,120,99.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
5751,7.78,49870,930.0,953,88941,278,96.0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
5753,7.35,781,2235.0,6860,1993,0,74.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5762,7.94,29228,626.0,1605,46832,28,49.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5767,7.37,12025,2148.0,2141,29367,42,55.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0
5772,8.01,3126,543.0,3441,11726,46,102.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5774,7.06,4239,3338.0,3357,12493,51,117.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
5782,7.86,5026,779.0,2922,16682,67,95.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5787,7.31,3571,2404.0,3337,12674,21,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5795,6.86,214,4080.0,8302,984,2,47.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5799,6.94,173,3798.0,6286,2616,2,90.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
5806,6.43,1060,5895.0,6189,2752,1,54.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5818,7.82,76935,847.0,664,126060,225,109.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
5830,8.47,11235,118.0,853,103970,694,120.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
5832,7.94,2436,638.0,4258,7043,21,47.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
5833,7.35,19699,2232.0,1738,41284,80,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5895,7.16,1839,2952.0,5147,4382,16,80.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
5897,6.98,26810,3650.0,1686,43499,75,105.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
5906,7.51,3321,1613.0,4187,7375,12,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5921,7.43,709,1880.0,6548,2314,9,59.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5922,8.04,5100,506.0,2482,22911,45,89.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
5927,6.74,977,4590.0,6354,2544,8,76.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
5933,8.16,83710,361.0,620,134831,422,59.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
5938,6.91,418,3884.0,6316,2584,4,104.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5939,7.19,701,2849.0,6787,2061,10,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5942,7.63,18571,1263.0,2007,32713,94,106.0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
5947,6.71,645,4702.0,7339,1586,0,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5953,7.17,1702,2944.0,4746,5382,6,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5956,7.45,5527,1831.0,3617,10379,13,43.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
5962,6.06,111,7217.0,10001,384,1,56.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
5965,7.81,78141,854.0,570,145681,301,88.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5974,7.23,372,2682.0,8230,1023,0,94.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
5976,7.05,5551,3385.0,2457,23386,78,60.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
5992,7.02,4341,3500.0,3761,9487,8,86.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
6006,6.62,910,5136.0,6881,1975,2,50.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
6007,7.69,26454,1125.0,1581,47685,102,88.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
6021,7.57,2318,1443.0,4816,5178,17,95.0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0
6025,7.39,324,2072.0,3094,14783,15,94.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6028,6.47,108,5726.0,9300,563,0,89.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
6033,6.5,221,5613.0,9225,593,0,52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6036,7.75,9221,988.0,2422,23931,22,123.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
6043,7.41,3073,1966.0,3199,14207,75,120.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
6047,7.07,26252,3311.0,1717,42418,27,96.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
6054,5.86,3309,7672.0,4316,6736,14,45.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
6062,7.01,3747,3538.0,3975,8311,5,89.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
6072,7.35,6196,2244.0,2350,25216,36,60.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1
6077,6.71,546,4740.0,7203,1695,5,150.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
6086,8.04,14324,507.0,1825,38443,164,110.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6112,6.91,412,3865.0,8032,1139,1,116.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
6117,8.55,146968,83.0,284,245639,2921,88.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6119,7.39,3878,2085.0,3714,9768,61,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6123,6.63,1041,5073.0,6601,2256,2,50.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
6134,5.33,466,8635.0,8131,1077,2,74.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6143,7.49,21394,1657.0,1921,35357,137,115.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6146,7.88,1242,734.0,2817,17898,40,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6147,8.4,93041,169.0,463,173994,2064,103.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
6151,6.53,4633,5485.0,3635,10317,29,80.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
6157,6.32,212,6301.0,8875,720,2,42.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6163,8.12,124537,416.0,308,230755,2211,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6166,7.03,44743,3450.0,1164,70798,28,45.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
6168,6.98,3147,3662.0,4409,6405,9,55.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
6192,7.44,416,1843.0,6374,2514,16,104.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
6196,7.57,2207,1439.0,4095,7734,5,56.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6205,8.62,55073,67.0,759,114333,551,125.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6214,7.25,12155,2629.0,2796,18162,99,101.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
6218,6.33,378,6287.0,8502,887,3,45.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6219,6.61,624,5172.0,7435,1512,2,74.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
6221,7.46,9344,1782.0,2728,19179,8,45.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
6224,6.56,5954,5357.0,3451,11684,59,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6226,7.72,69564,1055.0,738,116256,320,94.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
6235,7.21,1440,2787.0,5821,3187,3,73.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6241,5.2,382,8809.0,8571,856,2,100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6248,5.59,376,8210.0,8711,794,1,42.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
6278,8.15,20308,367.0,1993,33106,54,100.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
6282,7.28,28152,2500.0,1597,47101,23,55.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
6285,4.5,7321,9365.0,3313,12948,23,49.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6290,7.22,19189,2715.0,1867,37113,107,115.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
6292,7.93,131861,639.0,378,199675,927,101.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6298,8.16,190829,352.0,198,310133,5029,124.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6307,7.03,608,3478.0,6649,2199,2,163.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
6312,5.84,636,7718.0,7618,1387,0,50.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
6313,6.73,191,4609.0,8331,968,0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6316,7.54,7164,1516.0,2896,16932,30,105.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
6321,6.48,691,5681.0,7254,1662,2,51.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
6325,5.51,2680,,4753,5379,14,45.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
6326,7.96,20620,597.0,1557,48569,49,66.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
6331,9.04,61010,11.0,826,105458,1395,110.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
6333,8.58,166598,75.0,232,282422,1417,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6342,7.11,4526,3162.0,2651,20375,23,110.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
6354,7.73,17062,1050.0,1897,36182,149,110.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
6373,5.7,598,7969.0,7737,1305,0,44.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6381,6.57,2164,5350.0,4515,6050,9,111.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
6383,6.83,996,4211.0,6765,2086,3,60.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
6387,6.6,401,5190.0,8057,1125,2,75.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6402,6.75,249,4525.0,8922,704,4,50.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
6404,6.69,1251,4804.0,5541,3624,9,132.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
6414,7.26,18695,2554.0,1770,40332,69,59.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
6422,7.77,1938,936.0,5492,3702,20,89.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
6425,5.59,213,8219.0,9176,610,1,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6426,7.21,13660,2791.0,1884,36560,108,63.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
6430,7.77,13960,948.0,2406,24158,191,119.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6439,7.84,2990,819.0,4580,5867,5,91.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
6440,7.41,2252,1996.0,4936,4835,7,89.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
6441,7.16,14870,2973.0,1924,35364,264,58.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
6442,6.75,2469,4552.0,3818,9161,7,150.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
6461,8.03,1088,529.0,3595,10585,15,89.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
6464,8.55,174657,84.0,196,312545,5582,45.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
6473,7.66,86414,1205.0,661,126503,234,85.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
6500,8.14,30925,384.0,1409,56534,138,120.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
6529,5.6,2145,8192.0,5194,4252,1,45.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
6534,6.77,8625,4467.0,3002,15680,37,90.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
6556,7.55,56505,1490.0,979,86742,111,70.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
6558,8.74,78743,40.0,320,225372,3008,106.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
6582,8.09,25600,447.0,1408,56473,146,90.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6592,7.23,27858,2675.0,1473,53255,160,95.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
6599,6.96,67938,3709.0,778,111020,130,94.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
6611,7.6,14203,1344.0,2048,31590,125,83.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
6618,6.11,314,7067.0,8659,815,4,83.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6621,7.11,20330,3166.0,1762,40511,47,44.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
